,Categories,Subject,Context
26,,{{Your Company Name}},"{{First Name}},My name is {{Your Name}} and I’m with {{Your Company Name}}.  We work with start-up companies to help them obtain the Federal Research & Development Tax Credit.  There has been a major change in the law that now allows early stage companies to take advantage of this significant incentive that historically has only gone to the big guys.  Below is a link to a short video that provides an overview.http://www2.claruscredits.com/e/302891/explainer-landing/9c46/8669653{{Your Company Name}} offers a technology enabled tax service that provides a seamless and efficient way for companies to claim this tax credit.  Do you have availability for a short call to discuss the details?Sincerely,"
27,,Getting in touch,"Hi {{First Name}},I am reaching out because the last time that we were in touch, you had mentioned that you were using {{Competitor}} for your employees' health benefits. I am not sure if you have heard but {{Competitor}} is exiting the brokerage business, as you can read {{Link to News Article About Competitor}}. I was hoping that during this time of change it would make sense to explore {{Your Company Name}} for {{Company Name}}'s HR, benefits, and payroll essentials. To remind you, we make it easier for small businesses to focus more on hiring, branding, and growth, and less on the nitty-gritty of payroll & taxes, all while saving money on health insurance (up to 30% over a broker). We provide rich health benefit plans, payroll, and HR consultants in a streamlined platform and our clients rave about us.""{{Quote from Reference Customer}}"" - {{Reference Customer Name}}, {{Reference Customer Job Titles}} of {{Reference Customer Company Name}} You can find detailed reviews here {{Link to G2 Crowd Page}}.When would be a good time to connect for a few minutes this week?Cheers,"
28,,On-demand CFO with a particular focus on {{Company Name}}'s specific needs,"Hi {{First Name}}, I am the President of {{Your Company Name}}, a full-stack finance and CFO services hub for startups. I know {{Company Name}} is now at a new development stage, so wanted to help. {{Your Company Name}} offers a full range of financial services from simple bookkeeping to full dedicated finance team, and has expertise and resources to do anything you need better, faster, cheaper than if you hire an individual. Best of all, we do it on demand, as few or as many hours as you need, with no burdensome resource planning or lengthy negotiation to scale up or down, no minimum, no maximum, just there when you need. Let's talk when you have a moment, and get all your needs covered with better terms, pricing, and flexibility than you would ever get otherwise. Cheers,"
29,,{{Company Name}} + {{Your Company Name}}: No Strings Snack/Food/Wellness Partnership,"Hi {{First Name}},I’m the Head of Expansion Strategy at {{Your Company Name, a data-driven, food-focused wellness company that started at Stanford and recently completed {{Startup Incubator}}.We are revolutionizing the way people eat, think about, and experience food at the workplace. Our happy customers include {{Reference Customer 1}}, {{Reference Customer 2}}, {{Reference Customer 3}}, {{Reference Customer 4}}, {{Reference Customer 5}}, and many more!We just cooked up something special and believe it will be a great fit for your needs: the {{Product Name}}, which will help you put office grocery items on autopilot. You will be able not only to select the size and categories of content for your box, but also have access to more than 2,000 Nutritionist Doctor-curated mouth-watering products (which consistently rotate)! Upon your first delivery, you’ll get to gauge what products you like and further customize subsequent orders through your dedicated Food Expert, who will manage the entirety of your account. Not ready to commit? No worries! Try a free, no-commitment sample box of 10 snacks on us - no credit card required - to get a mouthwatering taste of the {{Company Name}} experience by visiting {{URL to Trial Signup}} or feel free to sign up for our service here. Let me know if you have any questions and I’ll make sure to help you get the food, snacks and beverages that you deserve.Looking forward! :)"
30,,Accounting Tips for the Forward thinking Executive,"Good Afternoon {{First Name}},According to a Forbes SMB report, 74% of SMB's did not have accurate financials to create a budget or forecast to ensure their company's stability or growth.Tip No. 8: Lock your books after you have closed the month to ensure that you don't have any material changes (significant changes to the numbers) from prior months especially if those numbers have to be shown to banks and other institutions.Do you close your books every month? How accurate is your data? Do you have accurate forecasts letting you know what your business will be like in 6 months or a year from now?Signature Analytics partners with Small & Mid-sized companies to fill the gaps in their accounting division and create efficiencies to promote growth using forecasts, budgets, and the proper accounting staff to accomplish your goals.A short video that explains how we help: {{Link to YouTube Video}}We begin with a free 15-minute consultation to review your business goals, priorities, and current processes. Learn how to get more visibility into {{Company Name}} finances than you ever thought was possible. Would a morning or afternoon appointment be better for you on the week of {{Date Next Week}}?Respond with the day and time that works best for you.Best Regards,"
31,,Pleased to meet you,"Hi {{First Name}} - I hope all is well! I was told you'd be the best person to reach out to in regards to equity administration over at {{Company Name}}.I'm looking to set up a 20-30 minute conversation to introduce you to my company {{Company Name}}. As an intro to {{Company Name}}, we are the top equity administration platform for private companies and currently work with over 5,000 businesses to ensure reliability and compliance when it comes to cap table management, 409A valuations, electronic exercises, and liquidity events. Additionally, we work with almost every major VC firm in the Valley and have relationships with over 360 law firms.When time permits, I'd love to connect over the phone or over coffee to evaluate whether {{Company Name}} would be a good fit for your team. Please let me know a time that works well for you to connect.Warm regards,"
32,,Bookkeeping headache?,"Hi {{First Name}},I work at {{Your Company Name}} where we serve high growth companies, like {{Company Name}}, by handling their bookkeeping & back-office needs.  I've done a bit of research on {{Company Name}} and while I'm not sure who on your team is handling the bookkeeping, we have a solution that may help them get rid of that headache.I'd like to setup a quick call to discuss how {{Your Company Name}} could benefit your company.  What's the best way to get 10 minutes on your calendar next week?Thank you for your time,"
33,,Cut your AWS/Azure burn by up to 50%,"Dear {{First Name}},My name is {{Your First Name}} and I am the CEO of {{Your Company Name}}. We have helped our customers significantly reduce their spend on AWS/Azure infrastructure by up to 50%.I'd be happy to provide you the referrals and case studies of the same.{{First Name}},  how about we connect over a short 10 minute call to discuss this? I'm confident we can add tremendous value to your company. Regards,"
34,,Creative Content Delivery,"Hi {{First Name}},I have been seeing more and more about {{Company Name}}-- congrats on the growing success! Great things lie ahead.I wanted to reach out and introduce myself, my name is {{Your First Name}} and I'm with {{Your Company Name}}. Over 70% of internet traffic runs over our fiber infrastructure. We also offer a host of security, voice/data, content distribution, and application performance services.I'd love to meet with you and discuss how {{Your Company Name}} can help {{Company Name}} with your tech road map, especially going into the new year.
 
I'd love to set up a meeting or phone call with you and my engineer here soon, so let me know when you are available.Cheers,"
35,,{{First Name}} - Meet the new value leader in hybrid cloud,"Hey {{First Name}},Hope your year is off to a great start. I wanted to touch base to share a few exciting updates from {{Your Company Name}}, because I think {{Company Name}} is a great fit for our cloud.Our {{Your Product Name}} platform has been gaining a lot of traction by providing a turn-key hybrid cloud solution at significantly lower costs than leading cloud providers. {{Your Product Name}} is a combined hardware and software stack that acts as your cloud orchestration software, letting you instantly provision VMs and assign resources across your entire compute fabric, all controlled via a clean and intuitive interface.We also give clients the option to connect their private cloud {{Your Product Name}}  nodes to Amazon's public cloud via direct connect. This lets you not only access their microservices and APIs, but it also introduces a new way balancing your cloud deployment. You can keep your steady-state workloads on secure, performant, and economic {{Your Product Name}} nodes while using Amazon to instantly scale up computing resources should you need to.Do you have 10 - 15 minutes to discuss your infrastructure goals for 2017 and how {{Your Company Name}} can help?Thanks {{First Name}},"
36,,"{{First Name}}, Secret agents aren't the only ones who can be spies","Hi {{First Name}},Seeing is believing. View the ads that are making your competitors money. {{Gif Showing Product Interface}}Check out {{Your Company Name}} for marketers.Let's spy on your competition together, feel free to Schedule a demo or reply back to me to set up a time to chat.Thanks!"
37,,{{Your Company Name}}: {{Upcoming Industry Conference}} {{Conference Dates}},"{{First Name}}, Hope you had a nice weekend. Hey, I wanted to see if you were gonna be in {{Conference City}} this week for {{Upcoming Industry Conference}} between {{Conference Dates))‍{{Conference URL}}‍If so, I was hoping to meet about native ads from {{Publisher Network}} and if this is something you were focusing on at {{Company Name}}If you are attending, what looks good on your calendar?"
38,,{{Your Company Name}} & {{Company Name}},"Hi {{First Name}},

I hope all is well - our team of analysts came across {{Company Name}} after some recent press releases, and after some quick research thought it may be a great fit for our pilot program, so I wanted to reach out from the Media Partnerships team here at {{Your Company Name}}!To give you some context, we partner with a handful of high potential brands each quarter and provide top level digital marketing strategy development, implementation, and optimization. We also provide access to internal data, consumer insights, best practices in the industry, and analytics support.I'd be happy to block off some time to connect with you and your team to determine if this would be a good fit for both sides and take a deeper dive into what a partnership would look like. Are you available next Monday or Tuesday for a quick call?All the best,"
39,,Selling {{Paid Product Plan Tier}} on {{Your Publisher Website}},"{{First Name}},Looking to integrate & place {{Paid Product Plan Tier}}  into 150+ deal stores like {{Publisher Website 1}}, {{Publisher Website 2}}, & {{Publisher Website 3}}.You are promoted in locations where consumers actually pay attention (editorial, social, email).All promos are performance based and structured as revenue shares.What do you think?"
40,,{{Product Your Solution Integrates With}},"Hey {{First Name}} - I studied your background and your team; given your involvement in {{Product Your Solution Integrates With}}, I discovered some ideas to socialize with you. {{Your Product}} enables agents with voice & SMS tied into {{Product Your Solution Integrates With}} by automating their manual activity and enhancing specific data-sets, letting them focus on solely delivering a great customer experience. I'd be interested to pick your brain how you utilize your {{Product Your Solution Integrates With}}  system. I attached a screenshot of our solution for context. If there's no value to be provided after our call; happy to part ways.Thanks in advance,"
41,,Quick intro for a YC startup,"Hey {{First Name}}, 
 
I'm the {{Your Job Title}} of {{Your Company Name}} in the current YC batch. We analyze customer feedback surveys and quickly provide deep insights. We're already working with 11 customers, incl. {{Reference Customer 1}}, {{Reference Customer 2}} and {{Reference Customer 3}}. In the past 4 months, we've already grown to 30K MRR.I'd love a quick intro to somebody on your team who is in charge of customer surveys.Thanks so much in advance,"
42,,Staying busy?,"What's keeping you busy these days? Any interesting tech you've been diving into recently? I lead the Mobile team at {{Your Company Name}}, the boutique recruiting agency started by developers. We like to keep our pulse on what's going on in the market, so I just wanted to hear what you've been up to lately. Of course, should you ever be on the lookout for something new, certainly let us know. Thanks!"
43,,Can I help?,"Hi {{First Name}},{{Your First Name}} from {{Your Company Name}} here.‍Just wanted to check in to see if we could get your jobs listed in our newsletter next week going out to 10k high-quality startup candidates. It's going be the biggest Startup jobs newsletter in {{City Name}}. ‍It's totally free and I just need your job descriptions to get you included - we'll take care of the rest!Cheers,"
44,,Apprenticeship talent for {{Company Name}},"{{First Name}},{{Company Name}} really helps businesses perform at their maximum potential, do you need bright young talent to help you continue to do so?I'm the COO of {{Your Company Name}}. It's an intensive education + apprenticeship program that gets young people launched into awesome careers fast and helps high-growth startups find the best entry-level talent.The program is simple and effective. Businesses hire our participants for a 6-month apprenticeship at $15/hour, and if they succeed offer them a full-time role. We are highly selective, and we train our participants before and during their apprenticeships. Here are a few companies who currently partner with us - {{Reference Customer 1}}, {{Reference Customer 2}}, and {{Reference Customer 3}}.Are you interested in testing an apprenticeship model to build out your sales, marketing, or ops teams at {{Company Name}}?Thanks for your time."
45,,Can I help?,"Hey {{First Name}},
 
I'm {{Your First Name}}, head of jobs at {{Your Company Name}} and we run the largest startup community globally with over 1.9 Million startups/investors.
 
{{Company Name}}  looks awesome and I'd love to promote your jobs in our next {{Your Company Name}} newsletter. It's going out to 10k job seekers in Los Angeles next week and it's totally free.
 
Over 5k Los Angeles-based startups are already using {{Your Company Name}} to fill tech, sales, marketing and more roles.
 
We're all about helping you grow - let me know how else I can help.
 
Cheers,"
46,,AI + Curation = Developers that love {{Company Name}},"Hey {{First Name}},{{Your First Name}} here from {{Your Company Name}}: the service that's using AI to disrupt recruiting. We'd love for our next email to you to be a direct introduction to a qualified developer already interested in {{Company Name}}! As you may recall: Top developers delivered straight to your inbox.Flat rate of $15k. 100 day 100% guarantee.Candidates vetted through AI curated for {{Company Name}}.Meet {{Your Company Name}} and silence the recruiter noise. Put our AI engine to work and get back to doing what you do best--building {{Company Name}}. Join the Beta! Best,"
